,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,성별,출생년도,혼인상테,종교,월급,직종,지역,나이,연령별,연령대
0,0,0,0,0,여성,1945.0,2.0,1.0,,,1.0,77.0,노년,70대
1,1,1,1,1,남성,1948.0,2.0,2.0,172.0,942.0,1.0,74.0,노년,70대
2,2,2,2,2,남성,1942.0,3.0,1.0,100.0,762.0,1.0,80.0,노년,80대
3,3,3,3,3,남성,1962.0,1.0,1.0,268.0,855.0,1.0,60.0,노년,60대
4,4,4,4,4,여성,1963.0,1.0,1.0,140.0,399.0,1.0,59.0,중년,50대
5,5,5,5,5,여성,2003.0,5.0,1.0,,,1.0,19.0,청년,NaN
6,6,6,6,6,남성,1927.0,1.0,1.0,,,1.0,95.0,노년,NaN
7,7,7,7,7,여성,1934.0,1.0,1.0,,,1.0,88.0,노년,80대
8,8,8,8,8,여성,1940.0,2.0,1.0,27.0,941.0,2.0,82.0,노년,80대
9,9,9,9,9,여성,1970.0,3.0,1.0,,151.0,1.0,52.0,중년,50대
10,10,10,10,10,여성,1992.0,5.0,2.0,,,1.0,30.0,중년,30대
11,11,11,11,11,남성,1940.0,1.0,2.0,,,1.0,82.0,노년,80대
12,12,12,12,12,여성,1941.0,1.0,2.0,,,1.0,81.0,노년,80대
13,13,13,13,13,남성,1962.0,5.0,1.0,,,1.0,60.0,노년,60대
14,14,14,14,14,남성,1978.0,1.0,2.0,267.0,399.0,1.0,44.0,중년,40대
15,15,15,15,15,여성,1975.0,1.0,2.0,217.0,254.0,1.0,47.0,중년,40대
16,16,16,16,16,여성,2004.0,0.0,2.0,,,1.0,18.0,청년,NaN
17,17,17,17,17,여성,2008.0,0.0,2.0,,,1.0,14.0,청년,NaN
18,18,18,18,18,남성,1941.0,1.0,1.0,,,1.0,81.0,노년,80대
19,19,19,19,19,여성,1942.0,1.0,1.0,100.0,510.0,1.0,80.0,노년,80대
20,20,20,20,20,남성,1964.0,5.0,2.0,,,1.0,58.0,중년,50대
21,21,21,21,21,남성,1975.0,5.0,1.0,,521.0,1.0,47.0,중년,40대
22,22,22,22,22,여성,1961.0,1.0,1.0,117.0,952.0,1.0,61.0,노년,60대
23,23,23,23,23,남성,1961.0,1.0,2.0,383.0,783.0,1.0,61.0,노년,60대
24,24,24,24,24,여성,1986.0,5.0,2.0,283.0,399.0,1.0,36.0,중년,30대
25,25,25,25,25,여성,1962.0,1.0,1.0,150.0,941.0,1.0,60.0,노년,60대
26,26,26,26,26,여성,1985.0,3.0,2.0,,,1.0,37.0,중년,30대
27,27,27,27,27,남성,1992.0,5.0,2.0,220.0,286.0,1.0,30.0,중년,30대
28,28,28,28,28,남성,1952.0,1.0,2.0,310.0,783.0,1.0,70.0,노년,70대
29,29,29,29,29,여성,1961.0,3.0,1.0,,951.0,2.0,61.0,노년,60대
30,30,30,30,30,여성,1982.0,1.0,2.0,,531.0,1.0,40.0,중년,40대
31,31,31,31,31,남성,1984.0,1.0,2.0,,531.0,1.0,38.0,중년,30대
32,32,32,32,32,여성,2020.0,0.0,2.0,,,1.0,2.0,청년,NaN
33,33,33,33,33,남성,1971.0,5.0,2.0,350.0,873.0,7.0,51.0,중년,50대
34,34,34,34,34,여성,1945.0,2.0,1.0,,,7.0,77.0,노년,70대
35,35,35,35,35,남성,1943.0,2.0,1.0,,,1.0,79.0,노년,70대
36,36,36,36,36,남성,1972.0,1.0,1.0,,,1.0,50.0,중년,50대
37,37,37,37,37,여성,1974.0,1.0,1.0,655.0,111.0,1.0,48.0,중년,40대
38,38,38,38,38,여성,2006.0,0.0,1.0,,,1.0,16.0,청년,NaN
39,39,39,39,39,여성,2006.0,0.0,1.0,,,1.0,16.0,청년,NaN
40,40,40,40,40,여성,1954.0,3.0,2.0,272.0,421.0,1.0,68.0,노년,60대
41,41,41,41,41,여성,1941.0,2.0,1.0,,,1.0,81.0,노년,80대
42,42,42,42,42,남성,1972.0,1.0,2.0,387.0,313.0,1.0,50.0,중년,50대
43,43,43,43,43,여성,1973.0,1.0,2.0,417.0,313.0,1.0,49.0,중년,40대
44,44,44,44,44,남성,2004.0,0.0,2.0,,,1.0,18.0,청년,NaN
45,45,45,45,45,여성,1936.0,2.0,2.0,,,1.0,86.0,노년,80대
46,46,46,46,46,남성,1968.0,5.0,1.0,260.0,842.0,2.0,54.0,중년,50대
47,47,47,47,47,여성,1940.0,6.0,1.0,,,2.0,82.0,노년,80대
48,48,48,48,48,여성,1982.0,1.0,1.0,40.0,421.0,2.0,40.0,중년,40대
49,49,49,49,49,남성,1976.0,1.0,2.0,310.0,873.0,2.0,46.0,중년,40대
50,50,50,50,50,남성,2010.0,0.0,1.0,,,2.0,12.0,청년,NaN
51,51,51,51,51,여성,2012.0,0.0,1.0,,,2.0,10.0,청년,NaN
52,52,52,52,52,여성,1937.0,3.0,1.0,,,1.0,85.0,노년,80대
53,53,53,53,53,남성,1959.0,1.0,2.0,290.0,852.0,1.0,63.0,노년,60대
54,54,54,54,54,여성,1967.0,1.0,2.0,160.0,930.0,1.0,55.0,중년,50대
55,55,55,55,55,여성,1995.0,5.0,2.0,,,1.0,27.0,청년,20대
56,56,56,56,56,여성,1998.0,5.0,2.0,180.0,521.0,1.0,24.0,청년,20대
57,57,57,57,57,남성,1955.0,1.0,1.0,165.0,941.0,1.0,67.0,노년,60대
58,58,58,58,58,여성,1958.0,1.0,1.0,,,1.0,64.0,노년,60대
59,59,59,59,59,남성,1982.0,5.0,2.0,244.0,521.0,2.0,40.0,중년,40대
60,60,60,60,60,남성,1968.0,1.0,1.0,760.0,312.0,1.0,54.0,중년,50대
61,61,61,61,61,여성,1970.0,1.0,1.0,250.0,272.0,1.0,52.0,중년,50대
62,62,62,62,62,남성,1994.0,5.0,1.0,,,1.0,28.0,청년,20대
63,63,63,63,63,남성,1999.0,5.0,1.0,,,1.0,23.0,청년,20대
64,64,64,64,64,남성,1973.0,1.0,1.0,910.0,273.0,1.0,49.0,중년,40대
65,65,65,65,65,여성,1975.0,1.0,1.0,,,1.0,47.0,중년,40대
66,66,66,66,66,남성,2004.0,0.0,1.0,,,1.0,18.0,청년,NaN
67,67,67,67,67,여성,2007.0,0.0,1.0,,,1.0,15.0,청년,NaN
68,68,68,68,68,남성,1950.0,1.0,2.0,249.0,799.0,5.0,72.0,노년,70대
69,69,69,69,69,여성,1956.0,1.0,2.0,214.0,952.0,5.0,66.0,노년,60대
70,70,70,70,70,남성,1930.0,1.0,2.0,,,1.0,92.0,노년,NaN
71,71,71,71,71,여성,1938.0,1.0,2.0,,,1.0,84.0,노년,80대
72,72,72,72,72,여성,1962.0,2.0,1.0,,,1.0,60.0,노년,60대
73,73,73,73,73,여성,1991.0,1.0,1.0,220.0,422.0,1.0,31.0,중년,30대
74,74,74,74,74,여성,1959.0,2.0,1.0,,,1.0,63.0,노년,60대
